DateTime,Entries,UniqueIPs
1579560971,222,222
1579562918,222,222
1579565808,218,218
1579567709,220,220
1579569614,216,216
1579571530,216,216
1579573483,216,216
1579575374,218,218
1579577300,216,216
1579579389,212,212
1579581375,209,209
1579583321,209,209
1579585242,209,209
1579587136,202,202
1579589083,197,197
1579590980,196,196
1579592897,196,196
1579594818,198,198
1579596735,202,202
1579598658,198,198
1579600585,196,196
1579602496,189,189
1579605610,186,186
1579607531,189,189
1579609451,186,186
1579611371,186,186
1579613290,187,187
1579616425,183,183
1579618335,185,185
1579620265,185,185
1579622175,184,184
1579624102,181,181
1579626148,179,179
1579627950,179,179
1579629914,176,176
1579631777,176,176
1579633699,176,176
1579635622,176,176
1579637574,175,175
1579639459,174,174
1579641379,174,174
1579643301,175,175
1579645218,171,171
1579647136,170,170
1579649061,172,172
1579650976,169,169
1579652894,171,171
1579656008,171,171
1579657956,176,176
1579659862,177,177
1579661798,174,174
1579663695,178,178
1579665717,176,176
1579667549,177,177
1579669565,175,175
1579671395,174,174
1579673312,172,172
1579675218,173,173
1579677141,175,175
1579679067,180,180
1579680982,184,184
1579682897,181,181
1579684829,185,185
1579686733,185,185
1579688655,189,189
1579690585,190,190
1579692492,188,188
1579695389,186,186
1579697312,187,187
1579699221,185,185
1579701143,184,184
1579703101,182,182
1579704980,182,182
1579706915,181,181
1579709102,181,181
1579711233,182,182
1579713142,182,182
1579715091,180,180
1579716980,181,181
1579719141,184,184
1579721056,185,185
1579722990,186,186
1579724894,188,188
1579727145,188,188
1579728973,187,187
1579730912,187,187
1579732829,188,188
1579734733,191,191
1579736669,188,188
1579738572,189,189
1579740510,189,189
1579742435,190,190
1579744335,187,187
1579746258,189,189
1579748192,192,192
1579750095,191,191
1579752976,195,195
1579754895,189,189
1579756838,189,189
1579758779,194,194
1579760699,203,203
1579762642,202,202
1579764499,199,199
1579766504,196,196
1579768368,190,190
1579770315,186,186
1579772173,182,182
1579774091,182,182
1579776041,183,183
1579777934,184,184
1579779854,184,184
1579781782,182,182
1579783694,184,184
1579785609,185,185
1579787561,184,184
1579789485,185,185
1579791375,190,190
1579793290,189,189
1579796283,191,191
1579798096,192,192
1579800019,191,191
1579801938,190,190
1579803854,188,188
1579805774,191,191
1579807699,187,187
1579809704,187,187
1579811565,184,184
1579813513,184,184
1579815383,185,185
1579817297,182,182
1579819213,185,185
1579821158,180,180
1579823055,183,183
1579824980,183,183
1579826896,184,184
1579828816,184,184
1579830752,185,185
1579832659,182,182
1579834581,183,183
1579836500,186,186
