DateTime,AddedIPs,RemovedIPs
1578807923,19,0
1578810023,10,0
1578812121,14,0
1578815124,2,0
1578816026,10,0
1578817222,7,0
1578818424,31,0
1578819322,2,0
1578820822,18,0
1578821722,12,0
1578823523,0,1
1578824123,7,0
1578825322,1,0
1578826223,6,0
1578827123,1,0
1578827725,29,0
1578828631,1,0
1578830425,18,0
1578831327,1,0
1578832523,1,0
1578832825,4,0
1578833723,3,0
1578835224,3,0
1578837627,8,0
1578838823,2,0
1578839428,42,0
1578840023,24,1
1578840327,7,0
1578843030,24,0
1578843623,12,0
1578845125,6,0
1578846324,1,0
1578847828,7,0
1578849023,2,0
1578849926,4,0
1578851428,6,0
1578852322,0,1
1578852623,0,4
1578854424,0,1
1578855028,22,0
1578855629,0,1
1578856226,1,0
1578857424,3,0
1578858626,5,0
1578859526,3,0
1578861026,2,0
1578861926,2,0
1578863122,3,0
1578864627,5,0
1578865823,11,0
1578866427,0,1
1578866726,5,0
1578867025,1,0
1578867925,0,2
1578868223,0,1
1578868524,2,0
1578868824,0,1
1578869129,6,0
1578869722,0,1
1578870027,6,0
1578873022,3,0
1578874822,16,0
1578875426,2,0
1578876326,18,0
1578877820,9,0
1578878421,2,0
1578879025,0,1
1578879321,5,0
1578880823,15,0
1578882023,8,0
1578882921,11,0
1578883822,3,0
1578885021,2,0
1578886226,2,0
1578886823,2,0
1578888321,29,0
1578889522,3,0
1578891026,9,0
1578892222,1,0
1578893426,3,0
1578893722,46,0
1578894326,1,0
1578894625,0,1
1578895224,1,0
1578895521,1,0
1578897622,4,0
1578899122,8,0
1578899421,1,0
1578900024,12,0
1578900626,1,0
1578901223,3,0
1578902722,44,0
1578903021,1,0
1578903923,5,0
1578904823,4,0
1578906026,10,0
1578908123,12,0
1578909324,2,0
1578910527,25,0
1578911427,0,1
1578912022,6,0
1578912626,0,1
1578913525,11,0
1578914727,1,0
1578915323,5,0
1578915624,0,1
1578916523,1,0
1578917725,3,1
1578918923,4,0
1578920123,2,0
1578921324,3,0
1578921928,1,0
1578923127,6,0
1578923431,42,0
1578924324,4,0
1578925525,1,0
1578927024,0,1
1578927324,4,0
1578927626,0,1
1578927924,0,1
1578928825,1,0
1578929124,4,0
1578929723,8,0
1578930624,2,0
1578932128,11,0
1578933032,1,1
1578933323,0,1
1578933928,14,0
1578934228,0,1
1578934829,0,1
1578935126,0,2
1578936026,2,1
1578936925,2,0
1578937826,7,0
1578939025,1,0
1578940224,32,0
1578941430,3,0
1578942625,2,0
1578943825,3,0
1578945323,24,0
1578946225,3,0
1578946824,0,1
1578947123,1,0
1578948924,9,0
1578950724,4,0
1578952222,115,0
1578952827,3,0
1578954022,5,0
1578954924,6,0
1578955525,2,0
1578956723,11,0
1578957022,0,1
1578957623,0,1
1578958822,4,0
1578959123,2,0
1578960322,16,0
1578961523,3,0
1578962422,3,0
1578963321,17,0
1578964220,2,0
1578965421,8,0
1578965721,1,0
1578967225,16,0
1578968421,5,0
1578969924,21,0
1578971724,4,0
1578973523,5,0
1578974722,12,0
1578976227,3,0
1578976822,18,0
1578978623,1,0
1578979223,4,0
1578979825,1,0
1578980423,42,0
1578981023,58,0
1578981921,16,0
1578982821,1,0
1578984922,11,2
1578986121,1,0
1578986423,0,1
1578987622,40,0
1578987927,1,0
1578988521,0,2
1578989123,0,2
1578989424,24,1
1578990625,12,0
1578991824,2,0
1578992722,2,0
1578995424,4,0
1578996025,2,0
1578998423,18,0
1579000823,8,0
1579002624,15,0
1579002922,2,0
1579003526,1,0
1579005323,5,0
1579006523,8,0
1579007125,1,0
1579007425,0,1
1579008627,1,0
1579009526,6,0
1579010726,2,0
1579011624,1,0
1579012525,1,0
1579014925,0,2
1579017925,0,1
1579020324,130,0
1579023929,16,0
1579025126,373,0
1579031425,0,1
1579032326,0,7
1579039523,0,2
1579046726,0,1
1579050322,0,2
1579053922,0,10
1579057822,0,8
1579068322,0,1
1579077025,89,2
1579079122,0,1
1579089926,0,2
1579101926,10,0
1579106425,32,0
1579106726,0,2
1579111823,0,2
1579121128,449,0
1579122324,0,1
1579138225,81,0
1579151121,0,1
1579173024,0,1
1579189529,1,1
1579189827,0,2
1579194928,31,0
1579196426,451,0
1579200025,0,2
1579208723,0,1
1579209625,48,0
1579233920,0,1
1579248322,0,1
1579251922,0,1
1579259123,0,1
1579262724,0,1
1579266623,0,1
1579269926,0,2
1579273526,0,2
1579277125,0,1
1579284326,98,2
1579287924,0,1
1579291529,0,1
1579297825,61,4
1579302324,0,2
1579305922,0,2
1579313122,0,1
1579334123,0,2
1579334425,0,4
1579334724,0,1
1579335327,86,0
1579337126,21,0
1579338621,0,1
1579354824,22,0
1579361128,52,0
1579361427,8,0
1579362024,1,0
1579377926,0,1
1579378828,14,0
1579381525,0,2
1579385125,0,1
1579392323,0,1
1579399521,0,1
1579406721,0,1
1579417822,0,1
1579418725,36,0
1579428324,0,1
1579437025,42,0
1579437624,0,2
1579439127,0,2
1579452923,0,1
1579457123,0,1
1579462225,1,0
1579464322,0,1
1579471522,0,1
1579489522,0,1
1579497623,96,0
1579503924,0,1
1579511124,0,1
1579521928,0,1
1579525525,0,1
1579530326,9,0
1579532725,0,1
1579533327,20,1
1579536326,0,2
1579542024,0,2
1579543523,0,1
1579565122,0,1
1579568427,49,0
1579572323,0,1
1579575922,0,1
1579583122,0,1
1579598124,0,3
1579598727,11,0
1579601124,0,1
1579611927,0,1
1579615228,32,0
1579615527,0,1
1579619127,0,1
1579626030,37,0
1579626329,0,3
1579629926,0,1
1579635627,0,6
1579635930,0,8
1579636225,0,6
1579636522,0,7
1579636828,0,11
1579637126,0,6
1579637422,0,6
1579638026,0,10
1579638324,0,3
1579638625,0,7
1579638926,0,5
1579639228,0,2
1579639526,0,5
1579639823,0,6
1579640124,0,5
1579643132,248,0
1579643424,74,0
1579651526,0,2
1579658723,0,1
1579671022,31,0
1579677023,49,0
